,id,idcloud,period,number_dataset,number_obeservationInDataset,area_covered_ha,area_covered_km2,coverage_rate,sampling_effort_transect_Km,staff_data_collectionAndsupervision,transet_sampling_duration_days,density,density_maximumError,densityMinimumError,populationSize,populationSizeMaximumError,populationSizeMinimumError,encounterRate,encounterRateMaximumError,encounterRateMinimumError,captureRate,captureRateMaximumError,captureRateMinimumError,occupancyRate,occupancyRateMaximumError,occupancyRateMinimumError,level,link,color,year,references,image,is_active,created_at,number_data_point,updated_at,species,region,country,landscape,sector2,sector,block,site,block2,sampling_method,main_landscape
0,848,-1,2002-2004,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,0,0,2002,0,,True,2023-01-25T10:57:19.526392Z,21695.0,2024-02-13T17:42:32.029524Z,53,1,1,2,nan,,,2,nan,1.0,1843
1,908,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Landscape,0,0,2002,0,,True,2023-01-25T12:49:04.061667Z,21695.0,2023-10-25T13:59:10.537271Z,53,1,1,2,nan,,,20,nan,1.0,1843
2,3755,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.29,0.47,0.19,795.0,1262.0,501.0,1.85,2.28,1.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/file/d/0B-dJZnbw2aZCbVRjX1BkRXBFNzQ/view?usp=drive_link&resourcekey=0-IClsCFQaK9t8jCvgdEW5jA,0,2003,"Boudjan R. P., M., C. (2003). Monitoring of the illegal killing of elephants (MIKE), CITES: 61p.",,True,2023-07-25T12:27:24.256979Z,-1.0,2023-10-25T16:37:07.782869Z,44,1,3,53,nan,25.0,,180,nan,1.0,1843
3,3404,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.189,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCR3BQR2hteHlTaWM&authuser=0,0,2003,"Nzooh Dongmo, Z. L., Bassama C., (2003). Evaluation préliminairere de l'environnement Bio-Ecologique: Statut des grands et moyens mammifères et des activités humaines dans l'UFA 10-052, WWF/GDC.48p.",,True,2023-07-25T12:40:12.884000Z,-1.0,2023-07-25T12:40:12.884012Z,54,1,1,49,nan,,,89,nan,1.0,1884
4,3015,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.35,0.53,0.16999999999999998,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCR3BQR2hteHlTaWM&authuser=0,0,2003,"Nzooh Dongmo, Z. L., Bassama C., (2003). Evaluation préliminairere de l'environnement Bio-Ecologique: Statut des grands et moyens mammifères et des activités humaines dans l'UFA 10-052, WWF/GDC.48p.",,True,2023-07-25T12:40:02.589275Z,-1.0,2023-07-25T12:40:02.589290Z,46,1,1,49,nan,,,89,nan,1.0,1884
5,2332,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.73,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCRVJTazhIdzJ5STA&authuser=0,0,2003,"Nzooh Dongmo, Z. L., Wouala, N.A., Mahop, J.P. (2003). Statut des grands et moyens mammifères et des activités humaines dans l'UFA 10-018, WWF, SIBAF: 48p.",,True,2023-07-24T15:37:20.126605Z,-1.0,2023-10-25T09:45:30.756729Z,41,1,1,3,nan,43.0,35.0,153,nan,1.0,1839
6,3488,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCRVJTazhIdzJ5STA&authuser=0,0,2003,"Nzooh Dongmo, Z. L., Wouala, N.A., Mahop, J.P. (2003). Statut des grands et moyens mammifères et des activités humaines dans l'UFA 10-018, WWF, SIBAF: 48p.",,True,2023-07-25T12:27:17.253299Z,-1.0,2023-10-25T09:45:31.713620Z,57,1,1,3,nan,43.0,35.0,153,nan,1.0,1839
7,1052,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.05,1.24,0.8600000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCNGJDOTk3S2c0WGM&authuser=0,0,2003,"Nzooh Dongmo, Z. L. (2003). Suivi écologique dans le Parc National de Lobéké et sa zone périférique: Données de base sur la dynamique des populations des grands et moyens mammifères et des activités anthropiques, WWF-CCPO-JSEFP, Cameroun: 214p.",,True,2023-03-06T10:10:49.201298Z,-1.0,2024-02-13T17:42:32.157291Z,13,1,1,2,nan,,,2,nan,1.0,1843
8,1476,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.068,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCNGJDOTk3S2c0WGM&authuser=0,0,2003,"Nzooh Dongmo, Z. L. (2003). Suivi écologique dans le Parc National de Lobéké et sa zone périférique: Données de base sur la dynamique des populations des grands et moyens mammifères et des activités anthropiques, WWF-CCPO-JSEFP, Cameroun: 214p.",,True,2023-03-06T10:11:00.887705Z,-1.0,2024-02-13T17:42:32.947938Z,66,1,1,2,nan,,,2,nan,1.0,1843
9,1322,-1,-,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCNGJDOTk3S2c0WGM&authuser=0,0,2003,"Nzooh Dongmo, Z. L. (2003). Suivi écologique dans le Parc National de Lobéké et sa zone périférique: Données de base sur la dynamique des populations des grands et moyens mammifères et des activités anthropiques, WWF-CCPO-JSEFP, Cameroun: 214p.",,True,2023-03-06T10:10:56.611225Z,-1.0,2024-02-13T17:42:32.751652Z,36,1,1,2,nan,,,2,nan,1.0,1843
10,3917,-1,-,-1,-1,217334.0,2173.34,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Site,https://drive.google.com/open?id=0B-dJZnbw2aZCNGJDOTk3S2c0WGM&authuser=0,0,2003,"Nzooh Dongmo, Z. L. (2003). Suivi écologique dans le Parc National de Lobéké et sa zone périférique: Données de base sur la dynamique des populations des grands et moyens mammifères et des activités anthropiques, WWF-CCPO-JSEFP, Cameroun: 214p.",,True,2023-11-27T08:14:05.339451Z,-1.0,2024-02-13T17:42:32.710522Z,53,1,1,2,nan,,,2,nan,8.0,1843
